Text,Label
Travel back to Middle-earth and wage all-out war on Sauron. Shadow of War gets a 20% discount at PS Store: http://play.st/2Bm8Gbj pic.twitter.com/SXGHIXOJPg,0
Game on.https://twitter.com/espn/status/947212997470162944 …,0
Less than two hours til the PlayStation @ Fiesta_Bowl kicks off! Watch on PS Vue or tune in to ESPN at 1 PM PT/4 PM ET to catch all the action. Who ya got? pic.twitter.com/uQvl7kp5Of,0
"On the latest episode of PlayStation Underground, we hang out with Final Fantasy XV's Noctis at a delightful fishing hole filled with some truly terrifying monsters. Watch now: https://www.youtube.com/watch?v=g6A6Pt7vxuU&feature=youtu.be …pic.twitter.com/VtqaqQO0MV",0
Look back at five years of http://PS.Blog 's Game of the Year winners. Who will take the platinum trophy this year? Vote now: http://play.st/GotY17 pic.twitter.com/vgT8Edx2ij,0
"The http://PlayStation.Blog Game of the Year polls are open! Vote now in categories like Best PS4 Game, Best Soundtrack, Best Art Direction, Studio of the Year and more: http://play.st/2B5u5Wh pic.twitter.com/hjRv6Qhe4e",0
"As we close in on 2018, join us as we count down the top 10 trailers on our YouTube channel this year: http://play.st/2BjeTF1 pic.twitter.com/ha5koKNaYF",0
"Race through thrilling missions and challenges in Need for Speed Payback, currently on sale for half off at PlayStation Store: http://play.st/2C1Ujwq pic.twitter.com/P8As652AeG",0
"PS Plus members can download Deus Ex: Mankind Divided, Batman: The Telltale Series, and Starblood Arena as part of their membership starting January 2: http://play.st/2BWpZDH pic.twitter.com/R7lGt26kgo",0
"The season of savings continues with the Holiday Sale Week 3! Up to 50% off (60% for PS Plus) on games like Destiny 2, Need for Speed Payback, Shadow of War, Crash Bandicoot N Sane Trilogy & more: http://play.st/2Acws9d pic.twitter.com/0bHOAyNKBi",0
"On the latest PS Underground, @ sidshuman fulfills his destiny as history's worst general in League of War: VR Arena, a RTS available now for PS VR. Watch the full episode: https://www.youtube.com/watch?v=owePaemIJO0 …pic.twitter.com/XymfVFvCrO",0
"Deus Ex: Mankind Divided and Batman: The Telltale Series headline January's PS Plus lineup: http://play.st/2BWpZDH Plus, a special bonus game for PS VR owners: Starblood Arena!pic.twitter.com/joshQeoyuR",0
Feel the thrill and realism of Gran Turismo Sport as you race your way to glory. Digital Deluxe Edition on sale 25% off: http://play.st/2C1G6zO pic.twitter.com/9tnNtvdp0W,0
Got a shiny new PlayStation VR headset? @ zen_studios shares tips for each of the games in their robust VR catalog: http://play.st/2BmqKSY pic.twitter.com/m67aUGHpB9,0
Escape into the virtual world of The Sims 4 and build the perfect life for alternate you. On sale now at PS Store: http://play.st/2BYFQ4r pic.twitter.com/KDPX5aU0E7,0
Revel in the awe and wonderment of the season with this adorable card from the team behind @ HatInTime: http://play.st/2Bg2DVS pic.twitter.com/SmbieZ6kVY,0
Happy Holidays from the Finch family and the fine folks at @ A_i and @ giantsparrow: http://play.st/2Bg2DVS pic.twitter.com/W6lqzG7p7a,0
Embrace the spirit of infinite possibilities for the coming year. Happy Holidays from @enhance_games: http://play.st/2Bg2DVS pic.twitter.com/jaDbMz2XQc,0
Let the Force guide you to PS Store where you can pick up Star Wars Battlefront II: Elite Trooper Deluxe Edition for 42% off: http://play.st/2BWeg8b pic.twitter.com/tJkhuVlUbk,0
"The season of savings continues with Week 3 of PS Store’s Holiday Sale! Save on games like Destiny 2, Shadow of War, Crash Bandicoot N. Sane Trilogy, and more: http://play.st/2Acws9d pic.twitter.com/CwRaz6KBPQ",0
"The lights were fed from the Transistor with care, and a Bastion of hope filled the chilly night air. As we all lit the Pyre there came a great cheer, and holiday tidings for a happy new year. @ SupergiantGames wishes you and yours a happy holiday: http://play.st/2Bg2DVS pic.twitter.com/4W9bEji1KZ",0
Battle across iconic locations throughout the European theater as Call of Duty returns to its WWII roots. Now 25% off at PS Store: http://play.st/2C1Feew pic.twitter.com/owkoQDlaba,0
The gang @ DrinkBoxStudios knows that no holiday season would be complete without a grumpy-yet-festive Christmas cactus: http://play.st/2Bg2DVS pic.twitter.com/b8WXovbm2W,0
Who needs reindeer when you've got a pyrotechnic-equipped Thunderjaw? Seasons greetings from @ Guerrilla: http://play.st/2Bg2DVS pic.twitter.com/EJmiE3PJb8,0
The wonderful team @ klei reminds us that as long as we're together — and as long as there are cookies — we won't starve: http://play.st/2Bg2DVS pic.twitter.com/jCtJbKBEiY,0
Battle monumental threats both close to home and in the far reaches of the galaxy with the Call of Duty WWII + Destiny 2 Bundle. Now 35% off at PS Store: http://play.st/2BWLKDl pic.twitter.com/6wdDGRpTPF,0
Season's greetings from @ mediamolecule. Here's to making all of your Dreams come true: http://play.st/2Bg2DVS pic.twitter.com/9aILoPyK2V,0
"Save on the acclaimed The Evil Within 2, currently on sale for 40% off at PlayStation Store: http://play.st/2Bpa2m0 pic.twitter.com/NPaEavkVLR",0
"On the latest episode of PlayStation Underground, we embark into the majestic wilds of Skyrim VR... but mostly we messed with the guards in Whiterun. Watch the full episode: https://www.youtube.com/watch?v=ITT8ZAQJX8o …pic.twitter.com/t3EyYQAlcR",0
Forget your worries and paint the season with happiness and imagination. Happy holidays from @ Pixelopus: http://play.st/2Bg2DVS pic.twitter.com/izLNpH9xLs,0
Horizon Zero Dawn? Nier: Automata? Persona 5? Something else? What was the best PS4 Game of 2017? Vote now in the http://PlayStation.Blog Game of the Year Awards: http://play.st/2B5u5Wh pic.twitter.com/KZtGlI2heD,0
"Oh the weather outside is frightful... and slightly perilous, if you happen to be a snowman. Happy holidays from @ messhof: http://play.st/2Bg2DVS pic.twitter.com/AhQHEKKWSV",0
Thank you @ SonySantaMonica for showing us that even the God of War has a soft spot for the season of giving. http://play.st/2Bg2DVS pic.twitter.com/eMrzaBgm8K,0
The @ FF_XIV_EN team and @ SquareEnix wish you a joyous holiday season full of wonder and (Final) Fantasy: http://play.st/2Bg2DVS pic.twitter.com/YrqlDLi4nz,0
"Flash Sale! Save on Star Wars Battlefront II: Elite Trooper Deluxe Edition, Call of Duty WWII + Destiny 2 Bundle, Gran Turismo Sport Digital Deluxe Edition and more: http://play.st/2BZ5p5q pic.twitter.com/BWExr8WVtN",0
"'I'm sorry for whoever has to use this headset next, because things are getting pretty sweaty.' Watch us strap into GT Sport on PS VR in the latest episode of PlayStation Underground: https://youtu.be/8rrCnG9jex4 pic.twitter.com/tYS3w3gtEK",0
It's been an absolutely incredible year for games. But now we need to crown one. Vote now for your Game of the Year: http://play.st/GotY17 pic.twitter.com/XGioezHYhj,0
"Gran Turismo Sport Patch 1.10 goes live today, headlined by the new GT League mode, 12 new cars, and mentor videos featuring @ LewisHamilton: http://play.st/2BlV5RC pic.twitter.com/THPcqEhgSm",0
Feast your eyes on a festive collection of holiday cards from developers across the industry: http://play.st/2Bg2DVS Which ones are your favorites?pic.twitter.com/vXivNj7Nnz,0
The final PlayStation Blogcast of 2017 is live! Join us as we discuss our picks for Game of the Year: http://play.st/Blogcast274 pic.twitter.com/n1ZmYO0s1s,0
New BioShock: The Collection PS4 theme seamlessly combines the iconic scenery of Rapture and Columbia. Download it here: http://play.st/BioShockTheme pic.twitter.com/XBqNIrWpb7,0
"The http://PlayStation.Blog team wishes you and yours a restful, refreshing holiday break. Enjoy this collection of cards from our friends across the industry: http://play.st/2Bg2DVS pic.twitter.com/8ckhAsxGaD",0
"Storm into battle as Captain Phasma, now playable in Star Wars Battlefront II on PS4.pic.twitter.com/kaOkhFbLpP",0
Things are about to get weird in Accounting+ for PS VR. See the full list of new games out this week: http://play.st/2BOyPTZ pic.twitter.com/FQH83G4S0l,0
"See Atreus’ first adventure into the Norse wilds, as the boy hears a mysterious voice calling out to him at # PSX2017. See more: http://play.st/2DidP5V # GodofWarpic.twitter.com/SXB7jUpjrv",0
"To celebrate the release of # Jumanji, we had @ TheRock, @ KevinHart4real and @ nickjonas battle it out in Knowledge is Power: https://youtu.be/ZZPziBRgVpw Don't forget: all PlayLink titles are 25% off until January 2 at PlayStation Store!pic.twitter.com/MDHXU0ZIS3",0
It's time! The http://PlayStation.Blog Game of the Year 2017 polls have opened. Vote now: http://play.st/2B5u5Wh pic.twitter.com/JzEiqSvvtP,0
"The wizards at @ Guerrilla detail how, from start to finish, they conceptualized and created the NPC Gildun in Horizon Zero Dawn: The Frozen Wilds: http://play.st/2BJacb4 pic.twitter.com/BwSMjUs4eZ",0
Manic # PSVR multitasker Shooty Fruity is out now: http://play.st/2AZk39f What's been your most effective checkout defense loadout so far?pic.twitter.com/ssxDaacEOD,0
"New games now live at PS Store include off-the-wall PS VR titles Accounting+ and Shooty Fruity, plus Xenon Valkyrie + for PS Vita and more: http://play.st/2AqdYCc pic.twitter.com/LYeWwUfGZo",0
"Week two of the Holiday Sale is now live at PS Store! Up to 50% off (60% for PS Plus members) acclaimed PS4 titles like The Evil Within 2, Call of Duty: WWII, The Sims 4 and more: http://play.st/2Acws9d pic.twitter.com/LC8Z51HcF5",0
Build your empire with the Criminal Enterprise Starter Pack in Grand Theft Auto Online: http://play.st/2BJKByF pic.twitter.com/dSvrv1BFpy,0
"How @ Guerrilla created Gildun, one of Horizon Zero Dawn: The Frozen Wilds' most memorable characters: http://play.st/2BJacb4 pic.twitter.com/Y7nnLrtGZa",0
Shooty Fruity launches today for PlayStation VR! Here are a few tips from the team at @ nDreamsVR to help defend your register: http://play.st/2AZk39f pic.twitter.com/SeXlDEaRu1,0
https://twitter.com/whirlybirdgames/status/941710593597288448 …,0
Embark on a wondrous journey of puzzle-solving and exploration in Rime - 30% off for just a few more hours: http://play.st/2AZHuio Week 1 of PS Store's Holiday Sale ends 12/19 at 8 AM PT.pic.twitter.com/RffNPdpQpi,0
"Last chance to save 50% on Street Fighter V at PS Store: http://play.st/2BJxTAc Just in time for next month's update with new characters, Arcade Mode and more.pic.twitter.com/aquxvn5Icx",0
Don the cowl once more in the epic finale of the Arkham series. Swoop into PS Store tonight and pick up Batman: Arkham Knight for less than 10 bucks: http://play.st/2AXHz6i pic.twitter.com/hwPEUOZADT,0
Dress up your floppy new friend for some hilarious brawling in Gang Beasts - on sale now at PS Store: http://play.st/2BKmVds Ends 12/19.pic.twitter.com/eUjkcYovcx,0
"With 40% off the Game of the Year Edition, now is the perfect time to jump into Overwatch. PS Plus members save 50%: http://play.st/2BH1XMK pic.twitter.com/JQ4oMPo41W",0
Get into the Call of Duty: WWII Winter Siege event for the Gun Game playlist and 2XP. Available now through December 21!pic.twitter.com/ka5SgwhPOu,0
"The past and present collide in The 25th Ward: The Silver Case on PS4: http://play.st/2ATfi0E Suda51 on his ""lost work"" from 2005.pic.twitter.com/kFWffbwFSg",0
Assemble your crew. The Doomsday Heist is out now in Grand Theft Auto Online: http://play.st/2AdSEjm pic.twitter.com/Tl4zpPpSnC,0
Xenon Valkyrie+ is a roguelite platformer with retro flair: http://play.st/2z8Jmar Coming to PS Vita on December 19pic.twitter.com/GG2szg1l9z,0
New video for Marvel's Spider-Man explores the development of Insomniac's ambitious next game.pic.twitter.com/q5lHx3fC1N,0
The Inpatient on PS VR will turn your senses against you: http://play.st/2AmX3ke pic.twitter.com/BgMb1jLUJ1,0
"Introducing Regalia: Royal Edition, a tactical JRPG with a European twist: http://play.st/2zcV3wJ pic.twitter.com/FRS5ZnlAN1",0
We unmask more details on Marvel's Spider-Man from Insomniac Games.pic.twitter.com/68CbDHG04G,0
Here's why Secret of Mana is great for old and new RPG fans alike! Watch our full gameplay demo: https://youtu.be/YQLWrrDc6RQ pic.twitter.com/byHgeeOyNN,0
Let's play Far Cry 5 with Creative Director @ danhaynow: https://youtu.be/bYXMRRYdTLA Featuring 25+ minutes of PS4 gameplaypic.twitter.com/YnELmVe8ZX,0
Save 40% on Star Wars Battlefront 2 at PS Store: http://play.st/2BsZQMf Just in time for The Last Jedi DLC!pic.twitter.com/zkBPVYiPBo,0
"Atreus is quick with his handcrafted bow, helping Kratos defeat any enemy. See more # GodofWar weapons: http://play.st/2CAMZoX # LostPagespic.twitter.com/2J3hPucpQB",0
"PS Music Recommends: Star Wars: The Last Jedi Original Motion Picture Soundtrack, Eminem, G-Eazy, Battlefield 1: They Shall Not Pass Soundtrack and more - streaming now on Spotify. Listen here: http://play.st/2AB4rbD pic.twitter.com/txtLb9eXmF",0
New PlayStation games out next week: http://play.st/2AqdYCc Things get weird in Accounting+ on PS VRpic.twitter.com/glNLp0G6qr,0
Who's taking the win at this weekend's game? # madden18pic.twitter.com/WiKqBPim8q,0
Ultrawings takes flight December 19 on PS VR: http://play.st/2AzWTG4 Experience open-world flight with full progressionpic.twitter.com/XI1TkkT1AD,0
Kratos' shield withstands enemy impacts and often breaks their defense. See more # GodofWar weapons: http://bit.ly/2jUWKXs # LostPagespic.twitter.com/EfzYFyrvIr,0
FUTmas is back in FIFA 18 Ultimate Team: http://play.st/2jZirWk pic.twitter.com/vilJN0YHR6,0
New holiday deal! Get a 1TB PS4 for $249.99 MSRP: http://play.st/2iYMa4J Great option for any last-minute gifts you still need to pick up. pic.twitter.com/6ey9Rd9vYT,0
Gwendoline Christie brings the unyielding Captain Phasma to life in Star Wars Battlefront II.pic.twitter.com/rS9xgXRKUS,0
