state,startdate,enddate,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,poll_id
U.S.,25-10-2016,31-10-2016,42.6414,40.86509,5.675099,47940
U.S.,27-10-2016,30-10-2016,43.29659,44.72984,3.401513,47881
Virginia,27-10-2016,30-10-2016,46.29779,40.72604,6.401513,47880
Florida,20-10-2016,24-10-2016,46.35931,45.30585,1.77773,47465
U.S.,20-10-2016,25-10-2016,45.32744,42.20888,3.61832,47616
U.S.,22-10-2016,25-10-2016,44.6508,42.26663,6.114222,47542
U.S.,26-10-2016,31-10-2016,46.21834,43.56017,3.15359,47875
Pennsylvania,25-10-2016,30-10-2016,46.89049,43.50333,3.466432,47867
U.S.,23-10-2016,27-10-2016,41.22576,37.24948,6.420006,47643
U.S.,29-10-2016,31-10-2016,42.21983,41.6954,4.220173,47995
U.S.,25-10-2016,31-10-2016,44.53217,43.84845,,47874
Florida,25-10-2016,27-10-2016,41.81832,47.92262,2.676897,47771
California,14-10-2016,23-10-2016,55.68839,29.50605,3.17051,47545
U.S.,29-10-2016,30-10-2016,43.31551,40.34972,5.823322,47786
North Carolina,25-10-2016,26-10-2016,45.20793,42.01937,6.499082,47775
Florida,25-10-2016,26-10-2016,43.19458,45.07725,3.499082,47776
U.S.,20-10-2016,24-10-2016,50.18283,39.33826,5.044833,47538
Florida,21-10-2016,24-10-2016,42.67789,46.11255,3.054228,47469
Pennsylvania,26-10-2016,28-10-2016,47.77047,39.80679,6.359501,47777
Pennsylvania,23-10-2016,25-10-2016,45.74354,41.34735,4.421316,47551
U.S.,14-10-2016,17-10-2016,46.84417,39.99571,6.27284,47060
Missouri,27-10-2016,28-10-2016,38.51061,50.7572,,47860
Colorado,26-10-2016,28-10-2016,41.75385,38.87231,8.359501,47780
U.S.,22-10-2016,26-10-2016,45.63602,41.55637,4.964521,47608
Arizona,26-10-2016,28-10-2016,41.76,43.84806,5.359501,47778
U.S.,25-10-2016,26-10-2016,45.78602,45.0337,2.193952,47631
