author,date,time,favorites,hashtags,mentions,permalink,replies,retweets,term,text,tweet_id,username
25073877,01-04-2015,16:13:00,318,,,https://twitter.com/realDonaldTrump/status/583361671156113409,30,268,realDonaldTrump,Entrepreneurs: Practice positive thinking with a lot of reality checks. Know that goals come with obstacles.,_583361671156113409,realDonaldTrump
25073877,01-04-2015,16:03:00,332,,,https://twitter.com/realDonaldTrump/status/583359130141913088,28,258,realDonaldTrump,Entrepreneurs: Learn to trust yourself. Being an entrepreneur is not a group effort.,_583359130141913088,realDonaldTrump
25073877,01-04-2015,16:00:00,392,,,https://twitter.com/realDonaldTrump/status/583358317323501569,31,322,realDonaldTrump,Entrepreneurs: Realize that success requires 100% effort and 100% focus. Nothing less.,_583358317323501569,realDonaldTrump
25073877,01-04-2015,15:55:00,97,,@ @,https://twitter.com/realDonaldTrump/status/583356914014257153,15,89,realDonaldTrump,Must read via @ FoxNews by @ JaySekulow: “Mr. President: Will you bring home American pastor imprisoned in Iran?”http://www.foxnews.com/opinion/2015/03/30/mr-president-will-bring-home-american-pastor-imprisoned-in-iran/ …,_583356914014257153,realDonaldTrump
25073877,01-04-2015,15:38:00,159,,,https://twitter.com/realDonaldTrump/status/583352700164771841,45,110,realDonaldTrump,"Obama’s offer to Iran will not stop Iran’s breakout capability. It is a bad, desperate deal negotiated from weakness. Pass sanctions!",_583352700164771841,realDonaldTrump
25073877,01-04-2015,15:36:00,428,,,https://twitter.com/realDonaldTrump/status/583352262426251264,39,288,realDonaldTrump,Washington needs common sense conservative solutions. Let’s make America great again!http://www.donaldjtrump.com/,_583352262426251264,realDonaldTrump
25073877,01-04-2015,15:04:00,29,,@ @,https://twitter.com/realDonaldTrump/status/583344117670875136,5,9,realDonaldTrump,Via @ UnionLeader by @ tuohy: “Trump: You're Hired” http://www.unionleader.com/article/20150331/NEWS0605/150339860&source=RSS …,_583344117670875136,realDonaldTrump
25073877,01-04-2015,14:58:00,27,#ixzz3W4Dw01b6,@Newsmax_Media @,https://twitter.com/realDonaldTrump/status/583342576830410752,11,22,realDonaldTrump,Via @Newsmax_Media by @ OwenTew: “Donald Trump: Kerry Has to Walk If Iran Doesn't Make Deal”http://www.newsmax.com/Newsfront/Donald-Trump-Iran-nuclear-deal/2015/03/31/id/635663/#ixzz3W4Dw01b6 …,_583342576830410752,realDonaldTrump
25073877,01-04-2015,14:15:00,39,,@,https://twitter.com/realDonaldTrump/status/583331848719306752,12,20,realDonaldTrump,Via @ rcpvideo: “Donald Trump on Who He Likes For President: Donald Trump”http://www.realclearpolitics.com/video/2015/03/31/donald_trump_on_who_he_likes_for_president_donald_trump.html …,_583331848719306752,realDonaldTrump
25073877,01-04-2015,12:56:00,16,,@ronsonlocke @,https://twitter.com/realDonaldTrump/status/583312060274069504,6,4,realDonaldTrump,"""@ronsonlocke @ realDonaldTrump I passed your Aberdeen Golf Course, looks amazing!"" Thanks!",_583312060274069504,realDonaldTrump
25073877,01-04-2015,12:38:00,26,#,@ @,https://twitter.com/realDonaldTrump/status/583307472414359552,6,16,realDonaldTrump,The townhall question segment of my @ WMUR9 Commitment 2016 Conversation @ JoshMcElveen http://www.wmur.com/politics/conversation-with-the-candidate/conversation-with-the-candidate-donald-trump-part-2/31887214 … Great questions/people # FITN,_583307472414359552,realDonaldTrump
25073877,01-04-2015,12:09:00,21,,@DanMilosevich @ @,https://twitter.com/realDonaldTrump/status/583300139252649984,5,10,realDonaldTrump,"""@DanMilosevich @ EricTrump @ TrumpFerryPoint Impressive - just as Trumps would be as first family. I hope your Dad runs 4 Prez, we need him""",_583300139252649984,realDonaldTrump
25073877,01-04-2015,12:00:00,34,,@,https://twitter.com/realDonaldTrump/status/583297817642434560,9,14,realDonaldTrump,One of the greatest tributes to a father I have ever witnessed--given to the great @ jacknicklaus by his wonderful son http://www.c-span.org/video/?c4532989,_583297817642434560,realDonaldTrump
25073877,01-04-2015,11:25:00,46,#,,https://twitter.com/realDonaldTrump/status/583289026272182272,20,35,realDonaldTrump,# TrumpVlog Be careful with Iran. https://instagram.com/p/07_AOAmhQE/,_583289026272182272,realDonaldTrump
25073877,01-04-2015,10:59:00,16,#,@,https://twitter.com/realDonaldTrump/status/583282447628046337,4,11,realDonaldTrump,"My friend @ ChristianJosi is making a very special LP. Follow him. Conservative leader by day, likely 2015 GRAMMY winner by night. # LEGENDS",_583282447628046337,realDonaldTrump
25073877,01-04-2015,04:33:00,26,# #,@19thWheel @ @,https://twitter.com/realDonaldTrump/status/583185486853865472,12,7,realDonaldTrump,"""@19thWheel: @ megynkelly @ realDonaldTrump Thank you for having # Trump on!! Want to see him educate reps on # Economy !!""",_583185486853865472,realDonaldTrump
25073877,01-04-2015,04:32:00,33,,@19thWheel,https://twitter.com/realDonaldTrump/status/583185267349131264,5,8,realDonaldTrump,"""@19thWheel: Heard your interview on SiriusXM Radio from FoxNews. I was thinking Scott Walker but now going Trump card all the way.""",_583185267349131264,realDonaldTrump
25073877,01-04-2015,02:27:00,28,,@ @ @,https://twitter.com/realDonaldTrump/status/583153697871564800,14,8,realDonaldTrump,""" @ CodiHart: @ realDonaldTrump Saw you on @ oreillyfactor tonight. Go Trump!""",_583153697871564800,realDonaldTrump
25073877,01-04-2015,02:25:00,26,#,@ @,https://twitter.com/realDonaldTrump/status/583153264058888192,4,8,realDonaldTrump,""" @ FlyOSUBuckeye1: RUN Mr Trump! Run! # oreillyfactor @ realDonaldTrump I doubt Sec Kerry EVER read ""Art Of The Deal""""",_583153264058888192,realDonaldTrump
25073877,01-04-2015,02:24:00,30,,@Josh_Millard16,https://twitter.com/realDonaldTrump/status/583153063806046208,3,9,realDonaldTrump,"""@Josh_Millard16: I'm loving everything DonaldTrump has been saying about the Iranian Nuclear deal, China, Mexico, and the border.Please run",_583153063806046208,realDonaldTrump
25073877,02-04-2015,16:57:00,234,,,https://twitter.com/realDonaldTrump/status/583734958050713600,88,172,realDonaldTrump,Politicians are all talk and no action. Washington can only be fixed by an outsider. Let’s make America great again!http://www.donaldjtrump.com/,_583734958050713600,realDonaldTrump
25073877,02-04-2015,16:54:00,712,#,,https://twitter.com/realDonaldTrump/status/583734218162855938,158,698,realDonaldTrump,"Oil is under $50/barrel. Now is the time to increase sanctions against Iran, not lift them. No deal is better than a bad deal. # ArtOfTheDeal",_583734218162855938,realDonaldTrump
25073877,02-04-2015,16:50:00,21,,@ @TurnberryBuzz,https://twitter.com/realDonaldTrump/status/583733290986774529,7,6,realDonaldTrump,Via @ TheTodaysGolfer “Trump @TurnberryBuzz transformation on course”http://www.todaysgolfer.co.uk/news-and-events/course-news/2015/april/trump-turnberry-transformation-on-course/ …,_583733290986774529,realDonaldTrump
25073877,02-04-2015,13:24:00,58,,@,https://twitter.com/realDonaldTrump/status/583681378887294977,17,56,realDonaldTrump,Watch my @ oreillyfactor appearance from this week discussing nuclear negotiations with Iran-http://bit.ly/1CVQr9I,_583681378887294977,realDonaldTrump
25073877,02-04-2015,12:05:00,25,# #,@ @,https://twitter.com/realDonaldTrump/status/583661621236670464,7,16,realDonaldTrump,""" @ OliverOmrf Very excited to start reading # theartofthedeal after being so inspired by # howtogetrich @ realDonaldTrump"" Great. Good luck!",_583661621236670464,realDonaldTrump
25073877,02-04-2015,09:19:00,33,#,@ @,https://twitter.com/realDonaldTrump/status/583619805204369409,18,17,realDonaldTrump,""" @ jleec Reading @ realDonaldTrump Art of the Deal tonight for the 3rd time. Please run for president! # Trump2016""",_583619805204369409,realDonaldTrump
25073877,02-04-2015,06:04:00,305,# #,@ @ @,https://twitter.com/realDonaldTrump/status/583570622703362048,17,299,realDonaldTrump,""" @ MaryHodgins: For all the AMAZING people in the world with # Aspergers & # Autism. @ richardbranson @ realDonaldTrump pic.twitter.com/uXPg4wwR4C""",_583570622703362048,realDonaldTrump
25073877,02-04-2015,06:01:00,28,#,@,https://twitter.com/realDonaldTrump/status/583570039485399041,14,13,realDonaldTrump,""" @ MichelleM: Praying for only more success for DJT. An honorable man who knows The Art of The Deal & who would not make a bad deal w/ # Iran""",_583570039485399041,realDonaldTrump
25073877,02-04-2015,05:52:00,14,,@ @TurnberryBuzz @,https://twitter.com/realDonaldTrump/status/583567631564812288,3,10,realDonaldTrump,""" @ Scotspolfed: Friendliness, professionalism & sheer dedication of staff @TurnberryBuzz should be pointed out to the boss @ realDonaldTrump",_583567631564812288,realDonaldTrump
25073877,02-04-2015,00:19:00,66,,@,https://twitter.com/realDonaldTrump/status/583483813654835201,17,31,realDonaldTrump,""" @ ArthurKade: Fun chatting w/ Derek Hough, Donald Trump, Zac Posen, Harvey Weinstein, Meredith Vieira and more pic.twitter.com/KHbnw7gyHF""",_583483813654835201,realDonaldTrump
25073877,02-04-2015,00:18:00,33,,@Newsmax_Media,https://twitter.com/realDonaldTrump/status/583483535341834240,20,34,realDonaldTrump,"""@Newsmax_Media: Suffolk Univ. Poll: Trump Leads Cruz, Rubio in New Hampshire http://ift.tt/1IDE3fb """,_583483535341834240,realDonaldTrump
25073877,02-04-2015,00:06:00,53,,@Tyrone_deverger @,https://twitter.com/realDonaldTrump/status/583480711438565377,24,33,realDonaldTrump,"""@Tyrone_deverger: @ realDonaldTrump I pray to God you run for 2016. You are the one man that can save the USA.",_583480711438565377,realDonaldTrump
25073877,02-04-2015,00:04:00,102,,@ @,https://twitter.com/realDonaldTrump/status/583480082532007936,13,74,realDonaldTrump,""" @ kuhnl1: "" @ realDonaldTrump: Entrepreneurs: Learn to trust yourself. Being an entrepreneur is not a group effort.""""",_583480082532007936,realDonaldTrump
25073877,02-04-2015,16:57:00,234,,,https://twitter.com/realDonaldTrump/status/583734958050713600,88,172,realDonaldTrump,Politicians are all talk and no action. Washington can only be fixed by an outsider. Let’s make America great again!http://www.donaldjtrump.com/,_583734958050713600,realDonaldTrump
25073877,02-04-2015,16:54:00,712,#,,https://twitter.com/realDonaldTrump/status/583734218162855938,158,698,realDonaldTrump,"Oil is under $50/barrel. Now is the time to increase sanctions against Iran, not lift them. No deal is better than a bad deal. # ArtOfTheDeal",_583734218162855938,realDonaldTrump
25073877,02-04-2015,16:50:00,21,,@ @TurnberryBuzz,https://twitter.com/realDonaldTrump/status/583733290986774529,7,6,realDonaldTrump,Via @ TheTodaysGolfer “Trump @TurnberryBuzz transformation on course”http://www.todaysgolfer.co.uk/news-and-events/course-news/2015/april/trump-turnberry-transformation-on-course/ …,_583733290986774529,realDonaldTrump
25073877,02-04-2015,13:24:00,58,,@,https://twitter.com/realDonaldTrump/status/583681378887294977,17,56,realDonaldTrump,Watch my @ oreillyfactor appearance from this week discussing nuclear negotiations with Iran-http://bit.ly/1CVQr9I,_583681378887294977,realDonaldTrump
25073877,02-04-2015,12:05:00,25,# #,@ @,https://twitter.com/realDonaldTrump/status/583661621236670464,7,16,realDonaldTrump,""" @ OliverOmrf Very excited to start reading # theartofthedeal after being so inspired by # howtogetrich @ realDonaldTrump"" Great. Good luck!",_583661621236670464,realDonaldTrump
25073877,02-04-2015,09:19:00,33,#,@ @,https://twitter.com/realDonaldTrump/status/583619805204369409,18,17,realDonaldTrump,""" @ jleec Reading @ realDonaldTrump Art of the Deal tonight for the 3rd time. Please run for president! # Trump2016""",_583619805204369409,realDonaldTrump
25073877,02-04-2015,06:04:00,305,# #,@ @ @,https://twitter.com/realDonaldTrump/status/583570622703362048,17,299,realDonaldTrump,""" @ MaryHodgins: For all the AMAZING people in the world with # Aspergers & # Autism. @ richardbranson @ realDonaldTrump pic.twitter.com/uXPg4wwR4C""",_583570622703362048,realDonaldTrump
25073877,03-04-2015,19:10:00,96,,@ @,https://twitter.com/realDonaldTrump/status/584130772208132097,31,50,realDonaldTrump,""" @ ohheyyhbayyy: One could only hope that @ realDonaldTrump will run for president. Had enough of Obama's poor choices in office.",_584130772208132097,realDonaldTrump
25073877,03-04-2015,19:06:00,436,,,https://twitter.com/realDonaldTrump/status/584129948916514818,108,367,realDonaldTrump,The Iran nuclear deal is a terrible one for the United States and the world. It does nothing but make Iran rich and will lead to catastrophe,_584129948916514818,realDonaldTrump
25073877,03-04-2015,13:31:00,22,,@ @,https://twitter.com/realDonaldTrump/status/584045584765558784,5,18,realDonaldTrump,Via @ CBSNewYork: “ @ TrumpFerryPoint Opens In The Bronx”http://cbsloc.al/1bUcYtt,_584045584765558784,realDonaldTrump
25073877,03-04-2015,06:39:00,70,#,@ @,https://twitter.com/realDonaldTrump/status/583941876337770497,29,38,realDonaldTrump,""" @ 4kmiddlebrook: # Everyone @ realDonaldTrump is the ONLY one who can beat Hillary",_583941876337770497,realDonaldTrump
25073877,03-04-2015,19:10:00,96,,@ @,https://twitter.com/realDonaldTrump/status/584130772208132097,31,50,realDonaldTrump,""" @ ohheyyhbayyy: One could only hope that @ realDonaldTrump will run for president. Had enough of Obama's poor choices in office.",_584130772208132097,realDonaldTrump
25073877,03-04-2015,19:06:00,436,,,https://twitter.com/realDonaldTrump/status/584129948916514818,108,367,realDonaldTrump,The Iran nuclear deal is a terrible one for the United States and the world. It does nothing but make Iran rich and will lead to catastrophe,_584129948916514818,realDonaldTrump
25073877,03-04-2015,13:31:00,22,,@ @,https://twitter.com/realDonaldTrump/status/584045584765558784,5,18,realDonaldTrump,Via @ CBSNewYork: “ @ TrumpFerryPoint Opens In The Bronx”http://cbsloc.al/1bUcYtt,_584045584765558784,realDonaldTrump
25073877,03-04-2015,06:39:00,70,#,@ @,https://twitter.com/realDonaldTrump/status/583941876337770497,29,38,realDonaldTrump,""" @ 4kmiddlebrook: # Everyone @ realDonaldTrump is the ONLY one who can beat Hillary",_583941876337770497,realDonaldTrump
25073877,03-04-2015,19:10:00,96,,@ @,https://twitter.com/realDonaldTrump/status/584130772208132097,31,50,realDonaldTrump,""" @ ohheyyhbayyy: One could only hope that @ realDonaldTrump will run for president. Had enough of Obama's poor choices in office.",_584130772208132097,realDonaldTrump
