text,label
Entrepreneurs: Practice positive thinking with a lot of reality checks. Know that goals come with obstacles.,Advice
Entrepreneurs: Learn to trust yourself. Being an entrepreneur is not a group effort.,Advice
Entrepreneurs: Realize that success requires 100% effort and 100% focus. Nothing less.,Advice
Must read via @ FoxNews by @ JaySekulow: “Mr. President: Will you bring home American pastor imprisoned in Iran?”http://www.foxnews.com/opinion/2015/03/30/mr-president-will-bring-home-american-pastor-imprisoned-in-iran/ …,Fox News
"Obama’s offer to Iran will not stop Iran’s breakout capability. It is a bad, desperate deal negotiated from weakness. Pass sanctions!",Obama
Washington needs common sense conservative solutions. Let’s make America great again!http://www.donaldjtrump.com/,Advice
Via @ UnionLeader by @ tuohy: “Trump: You're Hired” http://www.unionleader.com/article/20150331/NEWS0605/150339860&source=RSS …,Campaign
Via @Newsmax_Media by @ OwenTew: “Donald Trump: Kerry Has to Walk If Iran Doesn't Make Deal”http://www.newsmax.com/Newsfront/Donald-Trump-Iran-nuclear-deal/2015/03/31/id/635663/#ixzz3W4Dw01b6 …,Democrats
"""@ronsonlocke @ realDonaldTrump I passed your Aberdeen Golf Course, looks amazing!"" Thanks!",Golf
One of the greatest tributes to a father I have ever witnessed--given to the great @ jacknicklaus by his wonderful son http://www.c-span.org/video/?c4532989,Golf
"""@19thWheel: @ megynkelly @ realDonaldTrump Thank you for having # Trump on!! Want to see him educate reps on # Economy !!""",Campaign
""" @ FlyOSUBuckeye1: RUN Mr Trump! Run! # oreillyfactor @ realDonaldTrump I doubt Sec Kerry EVER read ""Art Of The Deal""""",Democrats
Politicians are all talk and no action. Washington can only be fixed by an outsider. Let’s make America great again!http://www.donaldjtrump.com/,Campaign
"Oil is under $50/barrel. Now is the time to increase sanctions against Iran, not lift them. No deal is better than a bad deal. # ArtOfTheDeal",Advice
Via @ TheTodaysGolfer “Trump @TurnberryBuzz transformation on course”http://www.todaysgolfer.co.uk/news-and-events/course-news/2015/april/trump-turnberry-transformation-on-course/ …,Golf
""" @ MichelleM: Praying for only more success for DJT. An honorable man who knows The Art of The Deal & who would not make a bad deal w/ # Iran""",Advice
""" @ kuhnl1: "" @ realDonaldTrump: Entrepreneurs: Learn to trust yourself. Being an entrepreneur is not a group effort.""""",Advice
"Oil is under $50/barrel. Now is the time to increase sanctions against Iran, not lift them. No deal is better than a bad deal. # ArtOfTheDeal",Golf
Via @ TheTodaysGolfer “Trump @TurnberryBuzz transformation on course”http://www.todaysgolfer.co.uk/news-and-events/course-news/2015/april/trump-turnberry-transformation-on-course/ …,Campaign
Watch my @ oreillyfactor appearance from this week discussing nuclear negotiations with Iran-http://bit.ly/1CVQr9I,Campaign
""" @ ohheyyhbayyy: One could only hope that @ realDonaldTrump will run for president. Had enough of Obama's poor choices in office.",Obama
""" @ 4kmiddlebrook: # Everyone @ realDonaldTrump is the ONLY one who can beat Hillary",Hillary
""" @ ISAACYASS: @ realDonaldTrump I know you will do great things for the USA!""",Campaign
""" @ Andrew_purcell: @ realDonaldTrump for President! """,Campaign
""" @ MichelleMeyer10: . @ PolitiBunny . @ gerfingerpoken Could explain Art of The Deal to Obama/Kerry but its waste of valuable time. # NuclearIran""",Obama
""" @ Buster842: @ realDonaldTrump The thought of Obama makes me want to puke. He is a big disgrace to America and all it stands for.""",Obama
"“Obama’s promises on the Iran deal are like him promising ‘if you like your healthcare plan, you can keep it’” - @ marklevinshow",Obama
"Miami’s top destination, @ TrumpDoral’s remodeled Royal Palm Pool offers 18 luxurious cabanas http://bit.ly/1HIIrZy",Real Estate
Looking forward to visiting @ SimpsonCollege on Wednesday to discuss education. Common Core is an attack on individual & local rights!,Campaign
# TrumpAdvice https://instagram.com/p/1I02Y9GhZn/,Advice
Congress must stop Obama’s reckless deal with Iran. The framework is a pathway for Iran to develop nukes.,Obama
. @ RollingStone admitted their scam. Phony @ HuffingtonPost and others are no better-- total joke!,Fake News
""" @ majesticljp: @ realDonaldTrump it's time for you to run for President of The United States, Mr Trump!!""",Campaign
""" @ Doctor_Platek: @ realDonaldTrump I believe you are the person who can help this great nation become great again!"" You are right!",Campaign
""" @ somecooldad: @ MrMikeCalta @ realDonaldTrump for president""",Campaign
""" @ belllabooo13: @ realDonaldTrump @ foxandfriends I always Enjoy listening to you Mr Trump!! You give great advice! God Bless!!""",Advice
"Wow, the respected Monmouth University poll has me ahead of most Republican candidates nationwide, and most people don't think I'm running!",Campaign
Many journalists are honest and great - but some are knowingly dishonest and basic scum. They should.be weeded out!,Fake News
""" @ laurasgoldman: . @ realDonaldTrump why is it necessary to comment on . @ ariannahuff looks? Because she is a dog who wrongfully comments on me",Trump Attack
""" @ Reedgs119: @ realdonaldtrump @ cleopattrausa Donald you are the next Ronald Reagan. Make America great again."" Thank you.",Campaign
""" @ kzieff: @ realDonaldTrump just run!""",Campaign
"""@Realistboutmine: F.Y.I Will make a excellent president He has what it takes to turn this county around he is Donald Trump for a reason.""",Campaign
""" @ cleopattraUSA: Please makè it a 100% chance you'll run for President! 'I could make this country great again' http://cnb.cx/1zK3MvM @@""",Campaign
"""@Whatyouknowjr: @ realDonaldTrump @Realistboutmine All you need to do is announce and we're there!""",Campaign
"""@Realistboutmine: @ realDonaldTrump for President please everyone vote in 2016 if God willing please we need him to help our country""",Campaign
""" @ KeatsBen: @ realDonaldTrump Donald please run for president! You need to show Obama how a real man does it!""",Obama
""" @ cstace1: @ realDonaldTrump is a president to get excited about!!! 2016!!!""",Campaign
""" @ ChipGates1: @ realDonaldTrump @ RollingStone @ HuffingtonPost Yeah shut em down. Nothing but toilet paper""",Fake News
As dishonest as @ RollingStone is I say @ HuffingtonPost is worse. Neither has much money - sue them and put them out of business!,Fake News
""" @ willgalloway_: @ realDonaldTrump when will you announce your 2016 decision? Btw we all know you're running! # Trump2016""",Campaign
"""@toypilaVzla: # trumpforpresident @ realDonaldTrump is ☞ triumph. Next year sounded the trumpets! https://twitter.com/toypilaVzla/status/579827138729246721/photo/1pic.twitter.com/GFrLERgqli """,Campaign
MAKE AMERICA GREAT AGAIN!,Campaign
"Leaving now - I'm spending the entire day in Iowa - great people, great state!",Campaign
""" @ ColemanG81: I can't wait for DonaldTrump to become president and finally put the US back on top as the worlds greatest country! # Trump2016",Campaign
""" @ MyView001: @ realDonaldTrump U sure could do a lot for the country!""",Campaign
"""@sxeymoney: @ realDonaldTrump for president.""",Campaign
"""@Brain__Quotes: Sometimes your best investments are the ones you don't make. -Donald Trump @ realDonaldTrump""",Advice
"""@Brain__Quotes: When somebody challenges you, fight back. Be brutal. Be tough. @ realDonaldTrump""",Advice
""" @ ckottlarock: @ realDonaldTrump # trump4prez""",Campaign
""" @ Amit_D_R: @ realDonaldTrump @ 4kmiddlebrook I'm sure the American voters will say, ""Mr Trump you are hired!""""",Campaign
""" @ xwellLudwig: . @ realDonaldTrump We need someone who can whip those goons on capital hill back into shape! # Trump2016 # Teens4Trump""",Campaign
""" @ 4kmiddlebrook: @ realDonaldTrump is ahead of Most Republican candidates and he hasn't even warmed up yet. America Needs # Trump2016 !""Thanks",Campaign
""" @ stevewest222: @ greta @ RepDeSantis DonaldTrump Kerry is such a great negotiator he doesn't even know when he has a deal! Better call Trump",Democrats
"Record crowd and standing ovation at Simpson College in Iowa- lots of fun, wonderful audience!",Campaign
"I had a great time in Iowa yesterday- record crowds, fantastic people!",Campaign
""" @ teslu888: @ realDonaldTrump We will vote 4 you.",Campaign
Off to Nashville and the NRA.,Campaign
""" @ BackOnTrackUSA: Again, Obama has made us a laughing stock with his Iran "" negotiations "". Obama is a disgrace & an embarassment""",Obama
I will be speaking at the NRA event today in Nashville. Many friends will be there.,Campaign
"Exclusive–Donald Trump: Obama 'Totally Out-Negotiated' by Iran, Taliban, 'Virtually Every Country in the World' - http://www.breitbart.com/national-security/2015/04/09/exclusive-donald-trump-obama-totally-out-negotiated-by-iran-taliban-virtually-every-country-in-the-world/ …""",Obama
Will be doing a big interview tonight with Bret Baier at 6:00 P.M. on Fox. Don't miss it!,Fox News
""" @ glfceo: The best # custserv in hospitality is at @ realDonaldTrump 's @ TrumpChicago hotel! Just super!""",Real Estate
"Without passion, you don't have energy; without energy, you have nothing. Nothing great in the world has been accomplished without passion!",Advice
South Carolina and the audience were GREAT - THANKS!,Campaign
Spoke to a capacity crowd at Horry County Republican event earlier today. https://instagram.com/p/1WA36fmhRA/,Campaign
Heading to South Carolina now - meeting with fantastic people!,Campaign
"Today is April 15th, Obama’s favorite day of the year. T-E-A. TAXED ENOUGH ALREADY!",Obama
"Our next Vice President of the United States of America, Gov. @ Mike_Pence! # GOPinCLE # GOPConvention # AmericaFirstpic.twitter.com/TZT3XcKp1c",Campaign
"Wow, Ted Cruz got booed off the stage, didn't honor the pledge! I saw his speech two hours early but let him speak anyway. No big deal!",Trump Attack
# AmericaFirst # RNCinCLEhttps://amp.twimg.com/v/5731b890-d255-437a-b840-6ee56de03480 …,Campaign
"One of the best produced, including the incredible stage & set, in the history of conventions. Great unity! Big T.V. ratings! @ KarlRove",Campaign
Thank you Cleveland. We love you and will be back many times!,Campaign
What a great four days in Cleveland. So proud of the great job done by the RNC and all. The police and Secret Service were fantastic!,Campaign
MAKE AMERICA SAFE AND GREAT AGAIN! # RNCinCLEhttp://www.snappytv.com/tc/2419034/1240815 … – bei Quicken Loans,Campaign
FORMAL ACCEPTANCE OF THE NOMINATION! # TrumpPence16pic.twitter.com/E6ZtVjSQZa – bei Quicken Loans Arena,Campaign
Thank you to everyone for the wonderful reviews of my speech on Thursday night. From the heart!,Campaign
Just saw Crooked Hillary and Tim Kaine together. ISIS and our other enemies are drooling. They don't look presidential to me!,Hillary
I will bring jobs back and get wages up. People haven't had a real wage increase in almost twenty years. Clinton killed jobs!,Hillary
Funny that the Democrats would have their convention in Pennsylvania where her husband and her killed so many jobs. I will bring jobs back!,Democrats
Crooked Hillary Clinton has destroyed jobs and manufacturing in Pennsylvania. Against steelworkers and miners. Husband signed NAFTA.,Hillary
Watched Crooked Hillary Clinton and Tim Kaine on 60 Minutes. No way they are going to fix America's problems. ISIS & all others laughing!,Hillary
The Democrats are in a total meltdown but the biased media will say how great they are doing! E-mails say the rigged system is alive & well!,Democrats
"Even though Bernie Sanders has lost his energy and his strength, I don't believe that his supporters will let Crooked Hillary off the hook!",Democrats
